date,frame,dayofweek,is_holiday,temp,weather,power_result,power_prediction,usage_rate,power_supply,sell_amount,buy_amount,contracted_amount,tokyo_price
2024/04/01,1,0,0,15.9,drizzle,2138,2138,0.65,3277,19499550,13094050,10474250,9.02
2024/04/01,2,0,0,15.9,,2138,2138,0.65,3277,20526000,13509200,10212700,9.01
2024/04/01,3,0,0,16.1,,2069,2076,0.65,3145,20488400,13667700,10387150,9.43
2024/04/01,4,0,0,16.1,,2069,2076,0.65,3145,20411750,13771350,10513950,9.52
2024/04/01,5,0,0,15.7,,2080,2089,0.64,3237,20340900,14081500,10589100,9.6
2024/04/01,6,0,0,15.7,,2080,2089,0.64,3237,19879400,14392050,10682300,9.87
2024/04/01,7,0,0,15.4,cloudy,2120,2124,0.64,3275,19427250,14776800,10927600,9.84
2024/04/01,8,0,0,15.4,,2120,2124,0.64,3275,19145800,14854050,10953200,9.5
2024/04/01,9,0,0,15.3,,2155,2155,0.66,3264,19004000,15162800,11096800,9.74
2024/04/01,10,0,0,15.3,,2155,2155,0.66,3264,18915050,15242850,11156700,9.78
2024/04/01,11,0,0,14.4,,2228,2195,0.66,3347,18450350,15197500,10593950,10.14
2024/04/01,12,0,0,14.4,,2228,2195,0.66,3347,18649350,15184150,10742150,10.24
2024/04/01,13,0,0,12.6,rain,2405,2362,0.68,3486,19431700,15428000,10718700,10.04
2024/04/01,14,0,0,12.6,,2405,2362,0.68,3486,19538700,15610350,11185450,9.87
2024/04/01,15,0,0,12.5,,2592,2655,0.89,2885,21424300,15757300,11801700,9.2
2024/04/01,16,0,0,12.5,,2592,2655,0.89,2885,22679650,15816150,12946350,9.06
2024/04/01,17,0,0,12.3,,2813,3032,0.84,3312,24906550,15980100,14292800,8.89
2024/04/01,18,0,0,12.3,,2813,3032,0.84,3312,25808150,16884200,15392700,8.95
2024/04/01,19,0,0,12.6,cloudy,3013,3215,0.83,3627,27766450,17756600,16264500,9.33
2024/04/01,20,0,0,12.6,,3013,3215,0.83,3627,29691850,17780450,16546250,9.1
2024/04/01,21,0,0,13.8,,3088,3123,0.82,3758,31539450,18371150,17206500,9.0
2024/04/01,22,0,0,13.8,,3088,3123,0.82,3758,33372650,18207950,17334250,8.88
2024/04/01,23,0,0,15.8,,3170,3127,0.82,3852,34371500,18163000,17500600,8.6
2024/04/01,24,0,0,15.8,,3170,3127,0.82,3852,35418350,17624900,17074850,8.55
2024/04/01,25,0,0,17.1,sunny,3068,3018,0.81,3778,35615700,17211750,16811300,7.5
2024/04/01,26,0,0,17.1,,3068,3018,0.81,3778,35453450,17182350,16775550,7.7
2024/04/01,27,0,0,18.0,,3102,3127,0.85,3625,33729950,17793400,17190600,8.6
