date,frame,sell_amount,buy_amount,contracted_amount,tokyo_price
2024/4/1,1,19499550,13094050,10474250,9.02
2024/4/1,2,20526000,13509200,10212700,9.01
2024/4/1,3,20488400,13667700,10387150,9.43
2024/4/1,4,20411750,13771350,10513950,9.52
2024/4/1,5,20340900,14081500,10589100,9.6
2024/4/1,6,19879400,14392050,10682300,9.87
2024/4/1,7,19427250,14776800,10927600,9.84
2024/4/1,8,19145800,14854050,10953200,9.5
2024/4/1,9,19004000,15162800,11096800,9.74
2024/4/1,10,18915050,15242850,11156700,9.78
2024/4/1,11,18450350,15197500,10593950,10.14
2024/4/1,12,18649350,15184150,10742150,10.24
2024/4/1,13,19431700,15428000,10718700,10.04
2024/4/1,14,19538700,15610350,11185450,9.87
2024/4/1,15,21424300,15757300,11801700,9.2
2024/4/1,16,22679650,15816150,12946350,9.06
2024/4/1,17,24906550,15980100,14292800,8.89
2024/4/1,18,25808150,16884200,15392700,8.95
2024/4/1,19,27766450,17756600,16264500,9.33
2024/4/1,20,29691850,17780450,16546250,9.1
2024/4/1,21,31539450,18371150,17206500,9
2024/4/1,22,33372650,18207950,17334250,8.88
2024/4/1,23,34371500,18163000,17500600,8.6
2024/4/1,24,35418350,17624900,17074850,8.55
2024/4/1,25,35615700,17211750,16811300,7.5
2024/4/1,26,35453450,17182350,16775550,7.7
2024/4/1,27,33729950,17793400,17190600,8.6
2024/4/1,28,32457950,17961350,17257850,8.82
2024/4/1,29,30865900,17567600,16921750,8.79
2024/4/1,30,29383400,16733200,15903150,8.95
2024/4/1,31,28708800,16082750,15488850,8.9
2024/4/1,32,26239000,16637750,15369250,8.95
2024/4/1,33,25515750,17448000,14893100,9.08
2024/4/1,34,23783750,17938650,14191700,9.84
2024/4/1,35,24813850,18028250,13950000,11.17
2024/4/1,36,23088050,18498800,13929150,15
2024/4/1,37,22508750,18574550,13667450,13.21
2024/4/1,38,22637450,18757700,13727450,15.99
2024/4/1,39,22703100,18738100,13698850,15
2024/4/1,40,22893300,18651600,13515750,12.85
2024/4/1,41,23015950,18269150,13210150,11.76
2024/4/1,42,23082650,18026850,13134750,11.56
2024/4/1,43,22965800,17751200,12756950,11.54
2024/4/1,44,21051750,16812650,12293450,10.05
2024/4/1,45,20925300,16652300,11959250,10.41
2024/4/1,46,20941600,16123250,11662650,9.73
2024/4/1,47,20183200,15646150,11358850,9.69
2024/4/1,48,19547050,14485650,10856450,9.57
2024/4/2,1,16696450,14351050,10635100,9.57
2024/4/2,2,17813500,14948350,10883850,9.5
2024/4/2,3,18563350,15213850,11048750,9.51
2024/4/2,4,18689500,15448400,11208900,9.62
2024/4/2,5,18771950,15690450,11437200,9.7
2024/4/2,6,18333000,16069050,11553050,10.32
2024/4/2,7,17914100,16150800,11691350,10.39
2024/4/2,8,17657350,16249050,11819650,10.45
2024/4/2,9,17404100,16391750,11893250,11
2024/4/2,10,17246900,16448700,11942800,11.19
2024/4/2,11,16662900,16599850,11795100,12
2024/4/2,12,16624700,16863450,11956550,12.47
2024/4/2,13,17471000,17076350,12117700,12.47
2024/4/2,14,18724350,17026900,12153050,10.61
2024/4/2,15,20841650,16745900,12458400,9.22
2024/4/2,16,23075900,16519900,13554250,8.72
2024/4/2,17,25812700,16765850,14700000,8.89
2024/4/2,18,27551400,17769500,16126450,8.82
2024/4/2,19,29255300,18796100,16986100,8.9
2024/4/2,20,30644850,19350850,17942300,8.79
2024/4/2,21,31709450,19711250,17918250,8.72
2024/4/2,22,32620150,19666950,18179700,8.56
2024/4/2,23,33353950,19567000,18508400,8.5
2024/4/2,24,34129100,19150850,18155900,8.38
2024/4/2,25,34873450,18126950,17353150,6
2024/4/2,26,34449300,17909250,17106600,8.31
2024/4/2,27,33446750,18317900,17401800,8.56
2024/4/2,28,32130900,18641900,17434150,8.69
2024/4/2,29,30317050,18266300,16821400,8.75
2024/4/2,30,28639100,17407150,16213600,8.91
2024/4/2,31,27394450,17017800,15603150,8.82
2024/4/2,32,25086200,17385100,14728550,8.95
2024/4/2,33,23814050,17681100,14325400,9.08
2024/4/2,34,21871650,18089000,13561700,9.7
2024/4/2,35,23669300,18126000,13507600,11.54
2024/4/2,36,22325700,18584100,13415350,14.35
2024/4/2,37,21900400,18548700,13376750,15
2024/4/2,38,22189300,18588550,13403150,14.41
2024/4/2,39,22358550,18451700,13417300,14
2024/4/2,40,22559200,18209350,13332950,12.89
2024/4/2,41,22438550,18250350,13183900,13
2024/4/2,42,22782450,18224700,13214800,12.43
2024/4/2,43,20814350,18299500,13112200,12.25
2024/4/2,44,20638150,17774450,12696900,11.94
2024/4/2,45,20686300,17286800,12194250,11.86
2024/4/2,46,20893550,16280000,11834650,10.07
2024/4/2,47,20175750,15524950,11554100,9.8
2024/4/2,48,19664350,14283500,11014500,9.76
2024/4/3,1,16888250,13734000,10640700,9.53
2024/4/3,2,18245600,14169950,10736450,9.36
2024/4/3,3,18907600,14395450,10930300,9.53
2024/4/3,4,19217200,14535550,10991050,9.14
2024/4/3,5,19308800,14829250,11269600,9.2
2024/4/3,6,18879400,15150150,11298200,9.25
2024/4/3,7,18477100,15536000,11599350,9.33
2024/4/3,8,18266000,15711500,11650300,9.62
2024/4/3,9,18034900,15482450,11696350,9.63
2024/4/3,10,17748100,15485150,11668850,9.35
2024/4/3,11,17069700,15688050,11503000,9.93
2024/4/3,12,17670400,15096500,11413950,9.32
2024/4/3,13,18464750,15187100,11396600,9.35
2024/4/3,14,18573100,15690950,11602750,9.35
2024/4/3,15,19364250,16465200,11663800,9.46
2024/4/3,16,19144850,17449450,12167800,10
2024/4/3,17,19601250,18542500,13149200,9.79
2024/4/3,18,19439950,19511800,13836350,10.67
2024/4/3,19,19681400,20602500,14116850,12.97
2024/4/3,20,20003350,20694000,14452650,13.09
2024/4/3,21,19985350,21574950,14504050,13.09
2024/4/3,22,20114700,21709400,14648300,13.09
2024/4/3,23,20079500,22057300,14808000,16.92
2024/4/3,24,19784550,21828450,14550100,17.79
2024/4/3,25,19855150,20850850,14153250,13.09
2024/4/3,26,19596850,20651250,14032350,12.97
2024/4/3,27,19098400,21297450,14100100,16.92
2024/4/3,28,18812650,21444600,13917050,22.35
2024/4/3,29,18345350,20649050,13642450,16.28
2024/4/3,30,18076550,19558000,13553000,16.28
2024/4/3,31,18109950,19010150,13198400,14.73
2024/4/3,32,18190800,19237150,13220300,16.92
2024/4/3,33,18785750,19893450,14028800,16.19
2024/4/3,34,18658100,19529300,13846000,16.28
2024/4/3,35,18948100,19403400,13650700,16.28
2024/4/3,36,20418150,19661150,13630000,16.28
2024/4/3,37,20281550,19278950,13659400,16.28
2024/4/3,38,20756050,19223450,13650400,16.28
2024/4/3,39,20718200,18770500,13393150,16.19
2024/4/3,40,20820850,18578500,13167450,15.54
2024/4/3,41,20027150,18263500,12828950,14.21
2024/4/3,42,19136100,18140350,12724100,12.85
2024/4/3,43,19000850,17715550,12456400,11.93
2024/4/3,44,19704000,17378400,12319850,10.61
2024/4/3,45,19731400,16993850,11770050,11
2024/4/3,46,20030100,15955400,11499800,10.02
2024/4/3,47,19258250,15371500,11287750,10
2024/4/3,48,18906750,13643900,11035400,9.74
2024/4/4,1,16700000,14801300,10787500,11.23
2024/4/4,2,17513900,15788200,11576400,10.5
2024/4/4,3,17759750,16084200,11747950,10.48
2024/4/4,4,18133200,16260700,11793050,10.4
2024/4/4,5,18059550,16347950,11889600,10.52
2024/4/4,6,18209250,16267450,11838950,10.19
2024/4/4,7,17799000,16530800,12032050,10.71
2024/4/4,8,18061850,16493200,12142650,10.65
