タイトル,NDC分類,NDC分類名,ページ数,著者名,刊行年月日,購入年月日,去年の貸出数,縦(mm),横(mm),厚み(mm),重さ(g),蔵書数,巻数,出版社
The wild fire,973,ドイツ文学・小説,281,Thomas Moore,2015/6/1,2016/10/9,11,145,99,26,304,1,,文藝春秋
city of Vienna,933,英米文学・小説,364,Patricia Harris,2016/6/14,2016/7/24,15,154,109,24,360,1,,集英社
図書_4895,510,土木工学,421,遠藤 純,1972/10/11,1973/9/26,7,255,174,53,2018,1,,ハヤカワ書房
星と日本語学,810,日本語,189,杉山 一朗,2008/2/18,2009/6/28,7,210,160,18,629,1,,朝倉書店
図書_1494,430,化学,488,伊藤 慎吾,2017/8/14,2018/10/17,8,173,102,57,847,1,,東京創元社
火と秘密 4巻,913,日本文学・小説,389,青木 太郎,2018/4/5,2018/5/15,11,142,105,40,514,3,4,技術評論社
詩人と現代,250,北アメリカ史,344,菅原 太郎,2022/3/17,2022/12/1,8,212,176,36,1194,1,,丸善
図書_2826,510,土木工学,338,林 美咲,1992/5/19,1992/6/27,4,251,181,37,1544,1,,偕成社
短い社会学,360,社会学,384,坂本 太郎,1968/8/11,1968/9/25,5,219,152,47,1346,1,,日本評論社
図書_4622,140,心理学,386,岡田 美咲,1982/3/10,1982/6/21,11,231,139,35,1096,1,,早川書房
火と心理学,140,心理学,375,井上 拓哉,1997/11/23,1998/2/13,11,265,182,53,2234,1,,光文社
図書_2359,410,数学,327,藤原 颯,1964/5/8,1964/6/14,22,225,157,36,1133,1,,角川書店
図書_4617,450,地球科学,452,池田 太郎,1972/8/11,1972/10/13,8,234,153,43,1329,1,,講談社
明るい倫理学,150,倫理学,286,佐藤 葵,2014/1/9,2014/3/31,9,253,177,32,1275,1,,集英社
皇帝と古代,230,ヨーロッパ史,275,大野 翔,2009/11/17,2010/9/22,4,236,137,32,911,1,,祥伝社
細い丘シリーズ 3巻,933,英米文学・小説,330,Mark Phillips,2017/6/13,2017/9/27,7,211,153,33,1037,1,3,光文社
ぼくの声,913,日本文学・小説,303,高橋 慎吾,2014/12/4,2015/3/25,8,224,157,33,1045,1,,偕成社
不思議な西洋哲学,130,西洋哲学,191,今井 慎吾,2014/12/23,2015/4/15,3,177,106,20,340,1,,ポプラ社
雪と心理学,140,心理学,434,清水 葵,1997/1/25,1997/4/3,6,254,180,46,2077,1,,ポプラ社
あの夕暮れの湖,914,日本文学・随筆,393,山口 裕子,2021/4/11,2021/5/26,19,181,118,32,624,1,,PHP研究所
熱い法律学,320,法律,303,藤原 慎吾,1989/4/13,1990/3/18,10,190,130,21,513,1,,ポプラ社
革命家と江戸,290,地理・地誌,245,山口 蓮,1999/8/7,2000/2/15,5,224,155,27,875,1,,新潮社
魔法の鍵 1巻,914,日本文学・随筆,255,三浦 奈々,2015/2/17,2015/5/27,14,145,106,19,259,1,1,ポプラ社
図書_4314,550,海洋工学,356,中村 三郎,2021/11/15,2022/7/6,40,214,157,39,1162,1,,双葉社
図書_3902,460,生物科学,358,岡田 和子,2017/12/2,2018/1/6,21,171,103,36,547,1,,ポプラ社
苦い嵐シリーズ 1巻,913,日本文学・小説,275,清水 颯,2015/6/28,2015/9/16,8,180,131,27,554,1,1,翔泳社
A last light,933,英米文学・小説,331,Charles Walker,2012/8/14,2012/11/22,8,150,107,26,365,1,,ポプラ社
図書_3408,540,電気工学,436,島田 香織,1996/5/27,1996/7/11,6,260,174,50,1974,1,,新潮社
仙台の黎明,930,英米文学総記,297,Christopher King,2007/7/2,2007/9/17,14,228,156,34,1075,1,,早川書房
熱い日本語学,810,日本語,250,阿部 花子,1976/4/17,1977/2/1,6,175,128,18,385,1,,丸善
