channel_name,debut_date,graduate_date
ときのそら,2017/9/7,
ロボ子さん,2018/3/4,
星街すいせい,2018/3/22,
夏色まつり,2018/6/1,
白上フブキ,2018/6/1,
赤井はあと,2018/6/2,
アキ・ローゼンタール,2018/6/1,
さくらみこ,2018/8/1,
湊あくあ,2018/8/8,2024/8/28
癒月ちょこ,2018/9/4,
大空スバル,2018/9/16,
紫咲シオン,2018/8/17,2025/4/26
百鬼あやめ,2018/9/3,
AZKi,2018/11/15,
大神ミオ,2018/12/7,
猫又おかゆ,2019/4/6,
戌神ころね,2019/4/13,
兎田ぺこら,2019/7/17,
白銀ノエル,2019/8/8,
宝鐘マリン,2019/8/11,
天音かなた,2019/12/27,2025/12/27
桐生ココ,2019/12/28,2021/7/1
角巻わため,2019/12/29,
不知火フレア,2019/8/7,
常闇トワ,2020/1/3,
姫森ルーナ,2020/1/4,
雪花ラミィ,2020/8/12,
桃鈴ねね,2020/8/13,
獅白ぼたん,2020/8/14,
尾丸ポルカ,2020/8/16,
鷹嶺ルイ,2021/11/27,
ラプラス・ダークネス,2021/11/26,
博衣こより,2021/11/28,
沙花又クロエ,2021/11/29,2025/1/26
風真いろは,2021/11/30,
