record_id,year,session_type,quarter,date,player_id,course_id,time_seconds
R000001,1,practice,1,2021/3/15,P01,C1,86.497
R000002,1,practice,1,2021/3/15,P01,C2,116.801
R000003,1,practice,1,2021/3/15,P01,C3,129.44
R000004,1,practice,1,2021/3/15,P01,C4,105.176
R000005,1,practice,1,2021/3/15,P01,C5,81.593
R000006,1,practice,1,2021/3/15,P01,C6,126.188
R000007,1,practice,1,2021/3/15,P01,C7,153.537
R000008,1,practice,1,2021/3/15,P01,C8,140.465
R000009,1,practice,1,2021/3/15,P02,C1,84.086
R000010,1,practice,1,2021/3/15,P02,C2,108.022
R000011,1,practice,1,2021/3/15,P02,C3,124.787
R000012,1,practice,1,2021/3/15,P02,C4,100.103
R000013,1,practice,1,2021/3/15,P02,C5,75.537
R000014,1,practice,1,2021/3/15,P02,C6,118.339
R000015,1,practice,1,2021/3/15,P02,C7,151.378
R000016,1,practice,1,2021/3/15,P02,C8,133.79
R000017,1,practice,1,2021/3/15,P03,C1,87.273
R000018,1,practice,1,2021/3/15,P03,C2,113.836
R000019,1,practice,1,2021/3/15,P03,C3,130.841
R000020,1,practice,1,2021/3/15,P03,C4,109.196
R000021,1,practice,1,2021/3/15,P03,C5,83.255
R000022,1,practice,1,2021/3/15,P03,C6,126.947
R000023,1,practice,1,2021/3/15,P03,C7,165.777
R000024,1,practice,1,2021/3/15,P03,C8,141.599
R000025,1,practice,1,2021/3/15,P04,C1,85.489
R000026,1,practice,1,2021/3/15,P04,C2,111.301
R000027,1,practice,1,2021/3/15,P04,C3,129.407
R000028,1,practice,1,2021/3/15,P04,C4,105.294
R000029,1,practice,1,2021/3/15,P04,C5,81.003
R000030,1,practice,1,2021/3/15,P04,C6,121.13
R000031,1,practice,1,2021/3/15,P04,C7,152.08
R000032,1,practice,1,2021/3/15,P04,C8,135.718
R000033,1,practice,1,2021/3/15,P05,C1,92.26
R000034,1,practice,1,2021/3/15,P05,C2,113.711
R000035,1,practice,1,2021/3/15,P05,C3,131.089
R000036,1,practice,1,2021/3/15,P05,C4,104.744
R000037,1,practice,1,2021/3/15,P05,C5,82.282
R000038,1,practice,1,2021/3/15,P05,C6,123.889
R000039,1,practice,1,2021/3/15,P05,C7,155.478
R000040,1,practice,1,2021/3/15,P05,C8,141.374
R000041,1,practice,1,2021/3/15,P06,C1,84.497
R000042,1,practice,1,2021/3/15,P06,C2,107.933
R000043,1,practice,1,2021/3/15,P06,C3,124.917
R000044,1,practice,1,2021/3/15,P06,C4,101.695
R000045,1,practice,1,2021/3/15,P06,C5,76.083
R000046,1,practice,1,2021/3/15,P06,C6,118.325
R000047,1,practice,1,2021/3/15,P06,C7,151.05
R000048,1,practice,1,2021/3/15,P06,C8,133.975
R000049,1,practice,1,2021/3/15,P07,C1,84.046
R000050,1,practice,1,2021/3/15,P07,C2,110.641
R000051,1,practice,1,2021/3/15,P07,C3,127.544
R000052,1,practice,1,2021/3/15,P07,C4,103.042
R000053,1,practice,1,2021/3/15,P07,C5,77.583
R000054,1,practice,1,2021/3/15,P07,C6,121.361
R000055,1,practice,1,2021/3/15,P07,C7,152.272
R000056,1,practice,1,2021/3/15,P07,C8,136.812
R000057,1,practice,1,2021/3/15,P08,C1,92.823
R000058,1,practice,1,2021/3/15,P08,C2,121.088
R000059,1,practice,1,2021/3/15,P08,C3,139.377
R000060,1,practice,1,2021/3/15,P08,C4,116.944
R000061,1,practice,1,2021/3/15,P08,C5,84.171
R000062,1,practice,1,2021/3/15,P08,C6,131.825
R000063,1,practice,1,2021/3/15,P08,C7,168.592
R000064,1,practice,1,2021/3/15,P08,C8,149.052
R000065,1,practice,1,2021/3/15,P09,C1,86.173
R000066,1,practice,1,2021/3/15,P09,C2,105.177
R000067,1,practice,1,2021/3/15,P09,C3,121.259
R000068,1,practice,1,2021/3/15,P09,C4,97.223
R000069,1,practice,1,2021/3/15,P09,C5,71.785
R000070,1,practice,1,2021/3/15,P09,C6,112.558
R000071,1,practice,1,2021/3/15,P09,C7,152.03
R000072,1,practice,1,2021/3/15,P09,C8,129.893
R000073,1,practice,1,2021/3/15,P10,C1,77.904
R000074,1,practice,1,2021/3/15,P10,C2,102.598
R000075,1,practice,1,2021/3/15,P10,C3,118.449
R000076,1,practice,1,2021/3/15,P10,C4,94.81
