id,area_m2,age_years,station_walk_min,floor,rooms,is_south_facing,has_parking,ward_type,renovation_done,school_walk_min,price_10kyen
1,103.1,1,24,5,4,0,0,1,0,19,4400
2,23.9,13,8,9,2,0,0,3,0,8,1813
3,113.1,44,18,7,5,1,1,1,1,7,4967
4,40.2,21,4,2,2,0,0,2,1,10,2646
5,124.9,29,18,2,6,0,1,3,1,13,4227
6,26.0,14,25,5,1,0,0,1,0,14,1862
7,56.1,40,27,6,2,1,0,2,0,10,1898
8,29.3,40,6,9,2,0,0,1,0,10,2019
9,148.6,40,23,9,7,1,1,1,0,3,5341
10,28.6,36,29,20,1,0,0,3,0,16,681
11,38.6,8,8,20,3,1,0,3,0,20,2322
12,67.1,8,17,8,2,0,1,1,0,7,3722
13,123.0,27,20,2,6,1,1,2,0,19,4422
14,113.7,43,29,9,6,1,0,2,0,2,3529
15,144.0,16,17,3,8,0,1,2,1,18,5396
16,119.1,34,25,9,5,1,1,1,1,11,4949
17,51.1,15,29,10,1,0,0,3,0,17,1806
18,89.3,8,5,15,4,0,0,3,0,15,3394
19,145.4,34,25,20,8,0,1,2,1,13,5216
20,35.7,14,3,6,1,0,0,3,0,9,2142
21,20.9,45,21,1,1,0,0,1,1,4,1911
22,83.1,34,5,20,5,1,0,2,1,8,4209
23,32.3,42,14,6,1,1,0,2,1,3,2162
24,32.8,25,24,6,1,0,0,1,0,16,1624
25,38.2,11,9,8,1,0,0,2,0,19,2542
26,90.3,0,3,4,4,1,1,1,0,14,5088
27,137.3,10,13,1,7,1,1,2,0,11,5131
28,149.4,35,22,20,8,0,0,1,1,20,5840
29,115.6,3,24,6,5,0,1,3,0,18,4198
30,30.4,11,3,10,1,0,0,2,0,5,2730
31,142.4,36,8,10,8,0,1,2,1,20,5363
32,46.6,45,11,4,2,1,0,1,1,11,3105
33,79.4,4,1,8,5,0,0,1,0,18,4388
34,134.5,15,12,5,6,1,1,3,0,11,5125
35,99.5,41,17,1,6,1,1,1,1,6,4680
36,116.5,9,9,5,7,0,1,1,0,10,5563
37,85.7,16,29,1,3,1,1,1,0,6,3672
38,116.4,35,23,7,7,0,0,3,1,19,3799
39,24.7,23,19,9,1,1,0,1,0,13,2285
40,131.9,22,7,15,6,0,0,3,1,15,4726
41,146.6,9,30,4,7,0,1,1,0,7,5431
42,141.0,42,28,20,6,1,0,3,0,3,3873
43,131.6,14,7,8,7,1,1,1,0,9,5913
44,62.7,4,25,5,3,1,1,3,0,12,2739
45,142.1,7,29,5,6,1,0,3,0,15,4348
46,76.7,32,4,7,5,0,0,3,0,18,3061
47,140.3,34,22,20,8,0,0,1,1,12,5391
48,36.2,19,17,5,3,1,0,2,0,11,2086
49,92.1,12,14,15,5,0,1,2,0,14,4069
50,57.3,27,26,10,4,1,0,2,0,8,2421
51,86.5,10,22,2,4,1,0,1,0,11,3930
52,23.2,15,16,10,1,1,0,2,0,20,1979
53,45.3,44,13,8,2,0,0,1,1,2,3179
54,135.1,27,8,3,8,1,0,1,1,5,5709
55,79.3,29,22,9,5,1,1,2,1,18,3443
56,78.0,10,24,8,4,1,1,3,0,10,3226
57,119.6,33,16,15,5,1,1,3,0,10,3920
58,30.5,9,8,7,2,0,0,3,0,8,2190
59,28.3,26,11,9,1,1,0,1,0,15,2214
60,143.0,1,28,10,7,1,0,2,0,11,5292
61,118.0,26,18,20,7,0,1,2,0,2,4393
62,123.8,10,27,8,5,0,1,3,0,20,4130
63,106.2,5,21,7,4,1,0,2,0,14,4113
64,63.9,24,9,7,3,0,1,3,0,13,2819
65,49.1,4,25,15,1,0,0,1,0,8,2946
66,51.0,30,22,2,3,0,0,2,1,13,2328
67,41.8,38,24,20,1,0,0,2,0,2,1847
68,138.0,24,13,20,6,0,1,3,0,11,4657
69,130.5,38,26,2,8,0,0,2,1,4,4483
70,130.4,31,4,7,7,1,1,2,0,18,5096
71,145.5,17,20,9,8,1,1,3,0,12,5112
72,31.3,28,8,8,2,1,0,2,0,12,1971
73,43.6,13,12,5,2,1,0,3,0,10,2084
74,44.8,15,24,7,2,0,0,3,0,17,1635
75,104.0,31,15,1,4,1,0,3,0,20,3186
76,64.7,35,11,6,4,1,0,2,0,8,2969
77,61.0,34,25,20,2,0,0,2,0,20,2340
78,56.8,6,27,4,3,0,0,2,0,7,2524
79,59.3,45,18,3,3,0,0,1,0,6,2363
80,33.3,0,19,5,1,1,0,2,0,12,2200
81,44.0,3,9,8,1,0,0,2,0,17,2866
82,27.0,9,26,10,1,0,0,1,0,5,2216
83,92.5,26,20,10,6,0,1,2,0,16,3566
84,75.7,36,20,1,5,0,1,1,1,10,3975
85,105.9,10,8,3,6,0,0,2,0,16,4307
86,24.2,18,23,5,2,1,0,1,1,10,2249
87,122.4,40,19,15,5,1,0,1,1,10,5111
88,41.6,19,20,20,3,1,0,2,0,11,2364
89,111.0,17,17,9,6,1,0,1,1,12,4938
90,49.8,43,27,10,3,0,0,3,1,20,1853
91,25.2,11,16,9,2,1,0,2,0,7,2263
92,125.9,5,16,6,6,1,0,1,0,7,5340
93,62.9,44,16,5,4,1,1,3,0,4,2251
94,146.1,25,28,9,7,1,1,1,0,17,5415
95,101.3,3,7,5,6,0,1,2,0,17,4861
96,99.2,15,23,3,5,0,1,1,0,9,4448
97,149.0,7,15,2,8,0,1,3,0,11,5104
98,128.5,30,8,8,8,0,0,3,0,6,4317
99,132.3,17,25,7,7,1,1,2,1,20,4888
100,132.5,28,18,8,7,1,1,3,0,12,4348
101,133.0,44,8,10,7,0,1,2,0,17,4609
102,70.2,42,26,15,2,1,1,1,0,20,2724
103,63.2,6,28,8,2,1,0,1,0,15,3394
104,29.7,16,11,10,2,1,0,3,0,12,1652
105,130.8,34,13,6,8,1,1,1,1,9,5591
106,149.7,5,14,2,8,0,1,3,0,11,5089
107,137.4,2,11,1,7,1,0,1,0,9,5678
108,123.0,10,6,2,7,1,1,1,0,17,5600
109,138.7,9,8,8,8,1,1,3,0,2,5476
110,57.4,34,6,2,3,1,0,3,0,15,2240
111,109.7,29,28,5,5,1,1,1,0,20,4109
112,110.9,1,27,15,6,1,0,3,0,3,4105
113,138.4,31,27,5,6,1,0,1,1,6,5085
114,104.0,19,26,8,4,1,1,1,1,12,4408
115,117.2,11,7,3,7,1,1,2,0,7,5085
116,82.6,18,24,6,3,1,1,1,1,9,4294
117,131.8,43,13,9,7,0,1,1,0,5,4788
118,107.4,37,13,15,5,0,1,2,0,19,4010
119,62.6,39,8,15,2,1,1,2,1,5,3790
120,59.6,31,4,2,2,0,0,2,0,19,2898
121,74.5,9,29,7,5,0,1,3,0,15,2848
122,109.7,13,15,8,5,1,0,3,0,13,3911
123,90.8,41,12,1,5,1,0,1,1,16,4404
124,103.1,1,2,6,4,0,1,1,0,4,5283
125,127.9,35,7,10,6,0,0,1,1,2,5444
126,148.4,34,9,3,7,0,0,2,1,9,5845
127,96.6,1,6,5,4,0,1,3,0,5,4136
128,121.1,32,19,2,6,0,1,1,1,18,4891
129,59.2,41,1,1,3,1,0,2,1,17,3340
130,136.9,20,20,3,6,0,0,3,0,12,4066
131,69.5,38,17,5,3,1,0,3,0,19,2207
132,78.7,14,14,6,4,1,1,1,0,12,4035
133,75.5,42,9,6,3,1,0,1,0,5,3409
134,36.9,3,19,9,3,1,0,3,0,5,2042
135,73.4,42,25,7,5,0,1,3,0,5,2167
136,105.4,14,28,2,5,1,0,2,0,20,3696
137,49.4,27,28,9,3,0,0,3,1,10,2044
138,119.1,21,12,1,5,0,1,2,0,2,4565
139,31.9,33,7,7,1,1,0,2,0,11,2006
140,93.8,5,29,1,4,0,1,1,0,4,3860
141,55.4,42,14,8,4,1,0,2,0,18,2461
142,56.8,43,19,8,4,1,0,1,0,3,2788
143,21.0,19,7,3,1,1,0,2,0,17,1979
144,69.4,45,8,9,4,1,0,3,0,2,2450
145,79.8,4,28,6,5,1,1,3,0,15,3130
146,145.6,10,26,10,8,1,0,1,0,9,5684
147,76.6,25,17,2,4,1,1,1,0,7,3891
148,89.0,12,29,6,4,0,0,1,0,10,3703
149,45.6,38,5,15,1,0,0,3,0,20,1838
150,140.1,36,21,15,8,1,1,3,0,16,4342
151,28.9,28,21,5,1,0,0,2,0,11,1445
152,67.9,18,3,15,2,1,1,3,1,3,3610
153,78.5,36,21,4,4,1,1,1,0,12,3493
154,104.0,2,8,20,5,1,1,3,0,7,4579
155,67.3,18,13,7,3,0,1,3,0,12,2942
156,56.9,42,30,10,2,1,0,1,0,6,2404
157,139.2,19,21,20,8,1,0,3,1,11,4789
158,62.7,8,22,20,4,0,1,2,0,18,3095
159,67.0,23,10,3,2,1,1,2,0,6,3322
160,122.5,32,25,9,7,0,1,3,0,14,3826
161,40.1,11,27,20,3,0,0,3,0,16,1852
162,113.5,28,20,5,7,1,0,1,0,17,4473
163,137.5,12,12,15,8,1,1,2,0,14,5443
164,41.1,12,26,10,1,1,0,1,0,17,2520
165,133.6,35,30,2,8,0,0,1,0,18,4447
166,143.0,14,27,8,7,0,1,2,0,18,5028
167,68.6,24,3,6,2,0,0,1,1,12,3922
168,57.3,30,23,3,4,1,0,2,1,4,2789
169,22.5,13,27,3,2,1,0,1,0,11,2022
170,51.0,40,26,10,2,0,0,1,1,17,2771
171,97.6,1,21,9,6,0,1,2,0,15,4317
172,94.2,11,22,15,4,1,0,3,0,19,3381
173,86.0,32,18,1,4,1,0,2,1,10,3658
174,28.8,15,24,15,2,0,0,3,0,12,1277
175,37.3,22,18,6,3,0,0,3,0,17,1429
176,28.2,29,2,5,1,0,0,1,1,12,2679
177,141.3,32,13,9,7,1,0,3,0,13,4552
178,105.2,17,4,6,5,1,1,2,0,7,4666
179,84.5,31,12,9,4,0,1,1,0,7,3786
180,30.4,42,10,5,1,1,0,1,1,13,2705
181,78.1,22,20,7,4,0,0,3,0,18,2650
182,143.9,9,28,10,8,1,0,1,0,9,5311
183,121.2,23,12,7,7,0,1,3,0,13,4124
184,94.6,33,12,7,5,1,0,1,0,7,4227
185,84.9,24,30,9,3,1,1,3,0,11,2627
186,46.0,8,28,2,2,0,0,3,0,16,1281
187,149.6,43,28,6,8,1,1,3,0,11,4408
188,140.6,40,6,6,8,0,0,1,1,9,5698
189,122.7,1,12,9,7,1,1,3,0,6,4909
190,60.2,45,24,8,4,1,1,3,0,12,1922
191,103.5,28,15,15,6,1,0,3,1,7,4070
192,85.4,3,27,2,5,0,0,1,0,12,3712
193,141.5,14,12,9,7,0,0,3,0,19,4717
194,99.9,5,17,15,4,0,0,3,0,12,3844
195,129.5,36,2,1,6,0,1,3,0,8,4441
196,103.1,31,29,15,6,1,1,2,0,14,3594
197,58.7,4,23,1,2,1,0,2,0,17,2666
198,38.7,45,11,20,2,1,0,1,1,18,3097
199,93.0,20,8,8,4,1,1,1,0,11,4786
200,74.4,10,27,6,5,1,0,1,0,17,3444
