date,emp_01,emp_02,emp_03,emp_04,emp_05,emp_06,emp_07,emp_08,emp_09,emp_10,emp_11,emp_12
2024/10/1,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/2,1,1,1,0,1,0,0,0,0,1,0,0
2024/10/3,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/4,1,1,1,1,1,0,0,0,0,1,0,0
2024/10/5,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/6,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/7,1,1,1,1,1,0,0,0,0,1,0,0
2024/10/8,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/9,1,1,1,0,1,0,0,0,0,1,0,0
2024/10/10,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/11,1,1,1,1,1,0,0,0,0,1,0,0
2024/10/12,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/13,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/14,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/15,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/16,1,1,1,0,1,0,0,0,0,1,0,0
2024/10/17,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/18,1,1,1,1,1,0,0,0,0,1,0,0
2024/10/19,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/20,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/21,1,1,1,1,1,0,0,0,0,1,0,0
2024/10/22,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/23,1,1,1,0,1,0,0,0,0,1,0,0
2024/10/24,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/25,1,1,1,1,1,0,0,0,0,1,0,0
2024/10/26,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/27,0,0,0,0,0,0,0,0,0,0,0,0
2024/10/28,1,1,1,1,1,0,0,0,0,1,0,0
2024/10/29,1,1,1,1,1,0,0,0,0,0,0,0
2024/10/30,1,1,1,0,1,0,0,0,0,1,0,0
2024/10/31,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/1,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/2,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/3,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/4,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/5,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/6,1,1,1,0,1,0,0,0,0,1,0,0
2024/11/7,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/8,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/9,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/10,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/11,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/12,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/13,1,1,1,0,1,0,0,0,0,1,0,0
2024/11/14,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/15,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/16,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/17,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/18,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/19,1,1,1,1,1,0,0,0,0,0,0,0
