date_ym,emp_01,emp_02,emp_03,emp_04,emp_05,emp_06,emp_07,emp_08,emp_09,emp_10,emp_11,emp_12
2026/8/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/8/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/8/3,3.6,0.0,1.4,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2026/8/4,3.6,0.0,1.4,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2026/8/5,2.7,0.0,2.1,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2026/8/6,2.7,0.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/8/7,4.5,0.0,1.4,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2026/8/8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/8/9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/8/10,3.6,0.0,0.7,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
