date_ym,emp_01,emp_02,emp_03,emp_04,emp_05,emp_06,emp_07,emp_08,emp_09,emp_10,emp_11,emp_12
2024/10/1,0.0,0.0,1.0,0.5,0.8,0.0,0.0,0.9,0.9,0.6,0.0,0.0
2024/10/2,0.0,0.0,0.9,0.0,0.8,0.0,0.0,0.9,1.2,0.0,0.0,0.0
2024/10/3,3.0,0.0,0.8,0.9,0.6,0.0,0.0,0.0,0.8,0.7,0.0,0.0
2024/10/4,0.0,0.0,0.9,0.7,1.1,0.0,0.0,0.8,0.9,0.9,0.0,0.0
2024/10/5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/10/6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/10/7,2.3,0.0,0.8,0.8,0.8,0.0,0.0,0.9,0.7,0.6,0.0,0.0
2024/10/8,2.4,0.0,0.8,0.7,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0
2024/10/9,1.8,0.0,0.8,0.7,0.6,0.0,0.0,0.0,0.6,0.5,0.0,0.0
2024/10/10,2.7,0.0,0.9,0.6,0.6,0.0,0.0,0.5,0.7,0.8,0.0,0.0
2024/10/11,0.8,0.0,0.7,0.7,0.7,0.0,0.0,0.6,0.7,0.0,0.0,0.0
2024/10/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/10/13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/10/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/10/15,0.0,0.0,0.8,0.6,0.7,0.0,0.0,0.7,0.0,0.6,0.0,0.0
2024/10/16,0.0,0.0,0.8,1.0,0.7,0.0,0.0,0.0,0.5,0.9,0.0,0.0
2024/10/17,3.2,0.0,0.8,0.7,0.8,1.0,0.0,0.5,0.6,0.6,0.0,0.0
2024/10/18,2.2,0.0,0.8,0.9,1.0,0.0,0.0,0.8,0.5,0.7,0.0,0.0
2024/10/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/10/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/10/21,0.0,0.0,0.6,0.8,0.6,0.0,0.0,0.6,0.7,0.4,0.0,0.0
2024/10/22,1.5,0.0,0.7,0.7,0.6,0.0,0.0,0.6,0.5,0.6,0.0,0.0
