date,tavg,tmin,tmax
2024-10-01,23.1,20.0,26.2
2024-10-02,26.3,22.2,31.7
2024-10-03,23.2,21.8,25.1
2024-10-04,25.4,22.3,29.4
2024-10-05,21.8,19.2,24.4
2024-10-06,21.4,19.2,23.6
2024-10-07,24.6,20.7,28.8
2024-10-08,19.8,15.7,24.0
2024-10-09,16.0,15.1,17.3
2024-10-10,17.5,15.2,20.4
2024-10-11,18.9,15.1,23.5
2024-10-12,20.5,16.6,24.9
2024-10-13,20.8,17.0,25.2
2024-10-14,20.6,17.0,25.4
2024-10-15,21.8,17.6,26.5
2024-10-16,22.4,19.6,25.4
2024-10-17,22.7,19.9,25.1
2024-10-18,21.6,20.7,22.6
2024-10-19,24.2,21.4,29.2
2024-10-20,17.8,14.3,22.4
2024-10-21,16.0,11.6,19.8
2024-10-22,19.6,15.0,23.9
2024-10-23,21.9,18.9,24.7
2024-10-24,22.6,20.3,25.2
2024-10-25,20.4,18.9,21.7
2024-10-26,19.0,17.5,20.4
2024-10-27,19.8,17.0,22.8
2024-10-28,18.8,17.3,20.2
2024-10-29,15.7,12.4,18.8
2024-10-30,16.6,12.6,21.8
2024-10-31,16.3,13.3,19.8
2024-11-01,17.0,12.4,21.5
2024-11-02,16.0,15.0,16.8
2024-11-03,17.5,14.5,22.0
2024-11-04,17.1,11.6,22.4
2024-11-05,16.7,13.9,19.3
2024-11-06,14.5,13.3,15.7
2024-11-07,13.6,11.2,17.1
2024-11-08,11.8,8.6,15.0
2024-11-09,12.6,8.2,16.6
2024-11-10,13.8,11.7,16.2
2024-11-11,16.3,13.3,20.5
2024-11-12,16.2,12.0,20.1
2024-11-13,16.5,12.9,20.2
2024-11-14,15.8,12.2,18.0
2024-11-15,15.8,13.9,17.4
2024-11-16,16.8,14.8,18.5
2024-11-17,18.8,15.4,23.4
2024-11-18,14.4,10.4,18.9
2024-11-19,9.8,8.1,12.3
2024-11-20,7.3,6.7,8.0
2024-11-21,10.7,7.5,14.3
2024-11-22,12.1,8.2,16.8
2024-11-23,12.1,9.7,15.2
2024-11-24,10.6,7.7,14.2
2024-11-25,10.2,7.1,13.4
2024-11-26,10.3,6.0,13.4
2024-11-27,14.0,8.8,19.7
2024-11-28,13.1,10.1,17.6
2024-11-29,11.5,8.3,16.1
2024-11-30,10.4,5.9,16.0
2024-12-01,11.2,7.0,15.7
2024-12-02,11.6,8.6,16.2
2024-12-03,11.9,7.6,16.8
2024-12-04,12.6,8.4,17.4
2024-12-05,11.6,9.3,14.6
2024-12-06,11.0,5.5,16.2
2024-12-07,9.1,6.5,11.8
2024-12-08,7.8,4.2,13.5
2024-12-09,7.6,3.2,12.6
2024-12-10,8.5,4.8,13.4
2024-12-11,8.8,6.1,12.9
2024-12-12,7.1,4.8,10.3
2024-12-13,5.3,1.7,7.8
2024-12-14,7.2,3.9,11.7
2024-12-15,6.5,1.0,11.6
2024-12-16,7.7,4.1,12.0
2024-12-17,8.0,3.0,13.2
2024-12-18,7.7,3.0,12.7
2024-12-19,5.3,3.0,7.8
2024-12-20,6.4,1.2,11.1
2024-12-21,9.4,3.2,16.1
2024-12-22,7.1,3.3,10.4
2024-12-23,6.1,2.6,10.6
2024-12-24,6.6,2.2,11.4
2024-12-25,7.8,5.1,10.8
2024-12-26,8.8,3.8,14.5
2024-12-27,7.6,4.4,11.9
2024-12-28,5.4,1.9,10.5
2024-12-29,6.0,0.9,11.3
2024-12-30,6.2,3.9,9.6
2024-12-31,8.0,3.0,13.8
2025-01-01,7.1,4.6,11.4
2025-01-02,7.7,2.4,13.6
2025-01-03,5.6,4.2,6.8
2025-01-04,5.1,1.9,9.3
2025-01-05,4.6,0.5,9.3
2025-01-06,4.4,1.6,7.8
2025-01-07,8.0,4.1,12.9
2025-01-08,6.8,2.9,11.3
2025-01-09,6.8,3.5,12.0
2025-01-10,4.6,1.2,8.8
2025-01-11,5.2,0.8,10.6
2025-01-12,5.2,2.9,7.9
2025-01-13,6.9,1.4,12.9
2025-01-14,6.4,1.6,12.4
2025-01-15,7.7,3.0,14.7
2025-01-16,4.6,3.1,7.6
2025-01-17,4.9,1.1,9.3
2025-01-18,4.6,1.6,8.8
2025-01-19,5.8,1.8,8.5
2025-01-20,9.1,5.2,13.4
2025-01-21,9.4,7.5,13.3
2025-01-22,8.3,4.6,12.7
2025-01-23,8.6,4.8,13.9
2025-01-24,9.2,4.7,13.8
2025-01-25,6.9,5.4,8.9
2025-01-26,7.0,3.6,11.7
2025-01-27,6.3,2.7,9.5
2025-01-28,8.4,4.8,12.8
2025-01-29,7.1,3.3,11.9
2025-01-30,6.4,1.9,11.0
2025-01-31,7.1,2.9,12.1
2025-02-01,7.4,3.3,11.3
2025-02-02,4.8,3.2,8.8
2025-02-03,6.1,4.2,9.0
2025-02-04,6.1,3.1,10.1
2025-02-05,4.1,0.6,7.9
2025-02-06,4.0,-0.3,8.7
2025-02-07,4.8,0.0,10.2
2025-02-08,4.6,0.6,9.1
2025-02-09,5.1,1.2,11.1
2025-02-10,5.4,-0.1,11.1
2025-02-11,5.2,0.7,9.7
2025-02-12,6.3,1.3,11.4
2025-02-13,7.8,3.6,12.6
2025-02-14,7.5,2.5,12.4
2025-02-15,9.4,5.5,13.2
2025-02-16,11.3,7.6,16.2
2025-02-17,9.6,4.4,14.3
2025-02-18,5.0,2.4,8.5
2025-02-19,4.0,0.6,8.1
2025-02-20,4.5,-0.9,9.7
2025-02-21,5.2,1.1,10.0
2025-02-22,4.5,1.7,8.3
2025-02-23,5.1,0.5,10.2
2025-02-24,4.8,0.3,9.6
2025-02-25,6.9,1.4,11.8
2025-02-26,10.5,4.7,16.9
2025-02-27,10.2,4.8,15.3
2025-02-28,10.9,6.3,16.1
2025-03-01,13.2,7.3,19.2
2025-03-02,14.5,8.2,20.5
2025-03-03,6.5,1.9,13.9
2025-03-04,2.4,0.5,4.8
2025-03-05,5.0,0.9,8.3
2025-03-06,9.1,7.0,11.4
2025-03-07,7.1,3.5,11.0
2025-03-08,3.3,0.5,5.8
2025-03-09,6.8,1.6,12.7
2025-03-10,9.0,3.3,14.0
2025-03-11,10.3,6.8,13.4
2025-03-12,11.5,8.9,14.5
2025-03-13,14.6,9.7,19.4
2025-03-14,12.9,8.8,18.2
2025-03-15,9.0,7.1,11.0
2025-03-16,6.3,4.9,7.7
2025-03-17,10.1,6.8,15.5
2025-03-18,8.6,4.9,12.3
2025-03-19,5.7,0.7,9.8
2025-03-20,8.3,4.4,13.2
2025-03-21,11.0,4.3,17.3
2025-03-22,15.6,7.0,23.1
2025-03-23,17.5,12.4,25.0
2025-03-24,14.7,10.1,18.6
2025-03-25,17.6,10.6,24.1
2025-03-26,20.5,15.7,25.6
2025-03-27,17.7,12.6,21.5
2025-03-28,20.2,15.1,25.0
2025-03-29,8.0,4.7,14.1
2025-03-30,9.3,5.3,14.5
2025-03-31,7.2,5.9,8.2
2025-04-01,5.1,4.2,5.7
2025-04-02,9.3,5.7,13.3
2025-04-03,8.6,6.3,9.6
2025-04-04,11.3,5.6,17.8
2025-04-05,11.8,6.4,16.3
2025-04-06,15.0,10.9,18.5
2025-04-07,14.4,11.9,19.0
2025-04-08,14.8,8.2,19.3
2025-04-09,16.6,11.0,23.8
2025-04-10,16.5,12.8,21.9
2025-04-11,15.4,13.0,19.4
2025-04-12,15.4,12.1,19.5
2025-04-13,13.1,12.0,14.0
2025-04-14,16.9,13.4,22.5
2025-04-15,16.4,11.8,20.9
2025-04-16,14.8,8.2,19.7
2025-04-17,17.6,10.6,24.6
2025-04-18,19.2,14.4,24.3
2025-04-19,20.8,15.9,27.1
2025-04-20,20.5,18.2,23.3
2025-04-21,18.8,14.4,24.2
2025-04-22,17.8,13.1,22.3
2025-04-23,17.2,14.1,19.5
2025-04-24,19.4,17.1,22.8
2025-04-25,18.8,17.0,21.8
2025-04-26,14.7,11.0,19.1
2025-04-27,16.8,9.9,22.3
2025-04-28,17.6,13.6,22.0
2025-04-29,17.1,13.0,22.8
2025-04-30,17.4,11.5,23.3
2025-05-01,18.2,13.0,22.7
2025-05-02,16.3,14.1,18.1
2025-05-03,18.2,13.9,23.2
2025-05-04,18.5,13.9,25.0
2025-05-05,17.7,12.0,22.6
2025-05-06,15.0,13.0,17.8
2025-05-07,17.8,12.9,22.3
2025-05-08,18.0,14.3,22.2
2025-05-09,18.1,14.9,22.3
2025-05-10,18.6,15.5,21.7
2025-05-11,20.6,15.7,25.4
2025-05-12,16.8,15.6,19.8
2025-05-13,19.7,15.5,24.5
2025-05-14,20.5,15.9,26.2
2025-05-15,21.0,16.7,26.7
2025-05-16,21.4,17.6,24.5
2025-05-17,21.1,18.9,23.5
2025-05-18,24.2,22.4,26.9
2025-05-19,19.4,17.7,22.3
2025-05-20,23.8,16.2,31.0
2025-05-21,24.7,20.1,29.2
2025-05-22,23.2,17.4,27.4
2025-05-23,18.8,16.7,22.8
2025-05-24,17.8,15.4,20.4
2025-05-25,17.6,14.8,20.3
2025-05-26,19.1,17.4,21.3
2025-05-27,17.9,16.2,19.8
2025-05-28,19.5,15.9,24.3
2025-05-29,19.5,16.0,22.8
2025-05-30,15.1,14.1,16.3
2025-05-31,15.9,15.0,16.7
2025-06-01,18.6,15.1,23.6
2025-06-02,19.9,15.2,24.2
2025-06-03,19.0,17.9,21.1
2025-06-04,22.2,16.8,27.5
2025-06-05,22.8,17.6,27.7
2025-06-06,23.3,18.5,28.0
2025-06-07,23.7,20.7,28.6
2025-06-08,23.1,19.9,27.9
2025-06-09,22.0,19.5,25.7
2025-06-10,20.4,19.4,21.3
2025-06-11,20.8,20.1,21.9
2025-06-12,22.8,19.2,27.8
2025-06-13,22.4,19.7,25.1
2025-06-14,22.3,20.8,25.1
2025-06-15,24.8,21.9,28.8
2025-06-16,26.5,23.3,31.0
2025-06-17,28.9,23.7,33.9
2025-06-18,28.9,24.9,33.7
2025-06-19,27.8,24.1,32.8
2025-06-20,26.6,23.5,30.9
2025-06-21,26.5,22.8,30.1
2025-06-22,28.1,24.4,32.6
2025-06-23,28.0,25.8,30.9
2025-06-24,27.0,25.7,28.9
2025-06-25,26.2,24.8,28.5
2025-06-26,27.2,24.7,31.1
2025-06-27,27.0,23.7,31.0
2025-06-28,28.2,24.1,33.4
2025-06-29,27.6,23.1,32.3
2025-06-30,28.2,24.3,32.6
2025-07-01,28.2,25.6,32.7
2025-07-02,28.0,25.3,32.7
2025-07-03,28.5,25.8,32.3
2025-07-04,28.3,25.6,33.3
2025-07-05,29.0,25.0,33.5
2025-07-06,29.7,26.6,34.4
2025-07-07,30.0,26.8,33.8
2025-07-08,30.2,26.6,34.2
2025-07-09,29.9,27.5,33.7
2025-07-10,28.5,22.6,34.6
2025-07-11,23.2,21.9,24.8
2025-07-12,23.5,20.8,26.3
2025-07-13,26.7,22.5,32.0
2025-07-14,26.9,25.3,29.5
2025-07-15,26.9,25.2,29.8
2025-07-16,26.4,24.7,27.5
2025-07-17,27.3,24.2,30.8
2025-07-18,27.8,25.0,31.3
2025-07-19,28.3,24.8,32.8
2025-07-20,28.7,25.4,32.9
2025-07-21,29.7,25.8,33.8
2025-07-22,29.5,26.1,33.4
2025-07-23,29.4,26.0,33.2
2025-07-24,29.8,25.7,33.9
2025-07-25,30.2,26.1,34.6
2025-07-26,30.3,26.9,34.5
2025-07-27,29.4,26.9,33.6
2025-07-28,30.1,25.5,34.9
2025-07-29,30.0,25.1,35.5
2025-07-30,29.2,25.8,33.8
2025-07-31,27.9,24.9,32.4
2025-08-01,26.3,23.8,29.5
2025-08-02,28.9,25.1,34.4
2025-08-03,30.4,26.3,36.1
2025-08-04,31.3,28.0,35.2
2025-08-05,32.2,28.6,36.3
2025-08-06,32.3,29.0,36.2
2025-08-07,29.5,27.4,32.5
2025-08-08,28.8,25.0,33.9
2025-08-09,28.3,25.4,32.6
2025-08-10,26.3,25.0,27.3
2025-08-11,27.1,25.8,29.2
2025-08-12,28.2,26.1,30.0
2025-08-13,28.0,25.6,30.7
2025-08-14,27.8,25.1,31.9
2025-08-15,28.6,24.9,33.0
2025-08-16,28.8,26.8,32.6
2025-08-17,29.9,26.7,34.0
2025-08-18,30.9,27.0,36.7
2025-08-19,30.0,26.7,34.0
2025-08-20,30.3,26.5,34.5
2025-08-21,31.3,27.7,36.1
2025-08-22,30.3,27.8,34.6
2025-08-23,30.4,26.9,35.0
2025-08-24,31.3,27.2,36.3
2025-08-25,30.5,27.9,34.5
2025-08-26,30.5,27.8,33.9
2025-08-27,31.1,28.4,35.2
