月,カテゴリ,商品,数量,単価,売上
1,フード,サンドイッチ,1,620,620
1,スイーツ,チーズケーキ,5,620,3100
1,ドリンク,抹茶ラテ,4,780,3120
1,フード,ホットドッグ,3,480,1440
1,スイーツ,チーズケーキ,5,550,2750
2,ドリンク,アイスコーヒー,2,420,840
2,フード,ホットドッグ,3,550,1650
2,フード,カレー,2,620,1240
2,フード,サンドイッチ,3,550,1650
2,フード,サンドイッチ,1,420,420
3,フード,ホットドッグ,5,420,2100
3,フード,サンドイッチ,1,550,550
3,ドリンク,アイスコーヒー,5,620,3100
3,ドリンク,レモネード,2,300,600
3,フード,ホットドッグ,1,550,550
4,フード,カレー,1,300,300
4,スイーツ,チーズケーキ,2,420,840
4,フード,ホットドッグ,4,780,3120
4,フード,カレー,4,300,1200
4,ドリンク,アイスコーヒー,3,420,1260
5,ドリンク,アイスコーヒー,2,300,600
5,スイーツ,プリン,4,700,2800
5,スイーツ,チーズケーキ,2,850,1700
5,ドリンク,レモネード,3,550,1650
5,フード,サンドイッチ,3,850,2550
6,フード,サンドイッチ,5,780,3900
6,ドリンク,レモネード,3,550,1650
6,ドリンク,アイスコーヒー,1,480,480
6,ドリンク,アイスコーヒー,5,420,2100
6,ドリンク,抹茶ラテ,2,850,1700
7,ドリンク,レモネード,5,620,3100
7,フード,カレー,1,480,480
7,フード,サンドイッチ,4,420,1680
7,ドリンク,抹茶ラテ,4,420,1680
7,ドリンク,レモネード,4,550,2200
8,ドリンク,アイスコーヒー,4,700,2800
8,フード,ホットドッグ,2,480,960
8,スイーツ,プリン,5,850,4250
8,フード,サンドイッチ,2,850,1700
8,ドリンク,アイスコーヒー,4,700,2800
9,スイーツ,チーズケーキ,2,700,1400
9,スイーツ,プリン,3,550,1650
9,フード,カレー,5,300,1500
9,フード,サンドイッチ,3,780,2340
9,スイーツ,プリン,4,300,1200
10,ドリンク,アイスコーヒー,4,420,1680
10,フード,カレー,1,550,550
10,フード,ホットドッグ,1,620,620
10,ドリンク,抹茶ラテ,2,620,1240
10,フード,ホットドッグ,1,300,300
11,スイーツ,プリン,5,620,3100
11,ドリンク,レモネード,4,620,2480
11,フード,カレー,1,620,620
11,スイーツ,プリン,4,850,3400
11,スイーツ,プリン,1,550,550
12,ドリンク,抹茶ラテ,4,420,1680
12,ドリンク,アイスコーヒー,5,700,3500
12,スイーツ,チーズケーキ,4,300,1200
12,ドリンク,アイスコーヒー,2,420,840
12,ドリンク,アイスコーヒー,5,850,4250
