日付,最高気温,最低気温,降水量
2023-01-01,-0.6,-5.4,1.6
2023-01-02,0.8,-5.0,1.1
2023-01-03,-2.6,-9.1,9.2
2023-01-04,-2.6,-7.1,4.5
2023-01-05,-0.2,-8.3,6.0
2023-01-06,1.2,-7.5,6.0
2023-01-07,0.8,-5.2,4.8
2023-01-08,2.7,-2.7,2.7
2023-01-09,-2.3,-6.9,0
2023-01-10,-2.1,-9.0,13.3
2023-01-11,1.1,-4.8,0.9
2023-01-12,-3.0,-8.0,2.4
2023-01-13,1.3,-4.8,0
2023-01-14,-0.3,-5.8,10.3
2023-01-15,2.1,-5.4,3.3
2023-01-16,0.2,-8.2,10.8
2023-01-17,1.6,-3.8,6.0
2023-01-18,-0.6,-8.4,2.6
2023-01-19,-2.4,-8.8,11.6
2023-01-20,1.9,-5.0,5.2
2023-01-21,2.7,-2.9,0.3
2023-01-22,0.6,-5.7,0
2023-01-23,2.5,-6.2,0
2023-01-24,-3.0,-10.5,4.4
2023-01-25,1.2,-7.8,5.1
2023-01-26,-0.6,-7.9,0
2023-01-27,-3.1,-9.4,4.5
2023-01-28,-2.8,-10.6,5.6
2023-01-29,-2.2,-7.4,0
2023-01-30,-2.5,-8.7,10.7
2023-01-31,0.8,-7.6,8.1
2023-02-01,-1.0,-7.1,0
2023-02-02,-0.4,-8.8,6.3
2023-02-03,-1.6,-6.8,2.1
2023-02-04,-1.1,-7.5,0
2023-02-05,-2.6,-8.7,0.5
2023-02-06,0.0,-6.8,11.8
2023-02-07,1.2,-5.9,0.3
2023-02-08,2.4,-1.9,11.4
2023-02-09,3.9,-4.1,0
2023-02-10,0.6,-5.4,9.8
2023-02-11,-1.6,-5.9,8.2
2023-02-12,-0.4,-5.2,1.9
2023-02-13,-1.8,-6.6,4.7
2023-02-14,-0.9,-6.7,15.1
2023-02-15,2.8,-1.9,4.9
2023-02-16,0.4,-5.3,1.0
2023-02-17,4.7,-4.3,5.3
2023-02-18,2.2,-4.2,5.4
2023-02-19,1.4,-3.9,4.4
2023-02-20,5.0,0.2,17.6
2023-02-21,3.1,-1.6,5.1
2023-02-22,3.3,-0.8,0
2023-02-23,5.7,-1.8,0.1
2023-02-24,1.7,-4.1,8.1
2023-02-25,3.7,-4.2,11.9
2023-02-26,2.5,-2.6,9.6
2023-02-27,6.3,-1.7,0
2023-02-28,6.3,-1.4,4.1
2023-03-01,3.2,-0.9,10.2
2023-03-02,1.1,-4.3,2.5
2023-03-03,7.8,1.6,12.2
2023-03-04,7.9,-1.0,8.5
2023-03-05,3.1,-2.0,1.4
2023-03-06,3.1,-1.9,0
2023-03-07,7.8,1.4,0
2023-03-08,6.7,-1.3,10.6
2023-03-09,8.7,0.8,7.5
2023-03-10,7.8,1.4,7.6
2023-03-11,5.1,-2.9,12.5
2023-03-12,9.8,3.8,0
2023-03-13,8.3,3.4,11.4
2023-03-14,4.3,-0.5,12.0
2023-03-15,4.7,-3.4,0
2023-03-16,10.8,3.5,0
2023-03-17,5.0,0.9,9.1
2023-03-18,11.2,4.0,0
2023-03-19,7.6,-0.8,0.7
2023-03-20,10.6,5.5,2.9
2023-03-21,6.8,-0.1,8.0
2023-03-22,7.1,1.0,11.9
2023-03-23,8.1,1.8,12.7
2023-03-24,9.9,1.4,0
2023-03-25,9.6,2.9,9.4
2023-03-26,10.0,5.9,0
2023-03-27,6.6,-1.4,4.4
2023-03-28,8.0,1.6,1.8
2023-03-29,9.4,2.8,0
2023-03-30,11.2,3.3,9.0
2023-03-31,9.4,4.0,7.8
2023-04-01,13.3,6.8,0
2023-04-02,14.5,8.3,0
2023-04-03,12.7,6.2,0
2023-04-04,11.8,5.1,2.3
2023-04-05,12.3,3.6,0
2023-04-06,15.8,10.5,0
2023-04-07,13.4,4.7,4.7
2023-04-08,10.6,4.4,0.2
2023-04-09,10.5,5.3,11.0
2023-04-10,15.8,7.3,7.0
2023-04-11,11.7,4.1,1.2
2023-04-12,17.0,8.2,0.2
2023-04-13,12.7,3.9,0
2023-04-14,18.3,10.1,7.1
2023-04-15,12.8,6.6,0
2023-04-16,13.3,7.7,2.5
2023-04-17,17.3,13.2,0
2023-04-18,12.6,6.9,0.8
2023-04-19,17.1,10.5,19.0
2023-04-20,18.6,9.7,9.8
2023-04-21,14.1,8.8,13.1
2023-04-22,15.5,10.9,5.6
2023-04-23,16.8,8.2,4.9
2023-04-24,15.2,6.6,0
2023-04-25,18.4,10.9,4.7
2023-04-26,19.5,13.4,4.1
2023-04-27,15.5,6.8,0
2023-04-28,15.8,7.5,0
2023-04-29,16.0,7.7,0
2023-04-30,19.7,11.1,4.6
2023-05-01,17.9,13.3,0
2023-05-02,17.1,12.3,2.3
2023-05-03,16.9,11.9,1.1
2023-05-04,22.2,16.8,7.7
2023-05-05,20.6,15.7,2.3
2023-05-06,19.1,15.0,3.9
2023-05-07,22.8,16.0,5.5
2023-05-08,24.4,19.9,9.3
2023-05-09,23.9,17.7,0
2023-05-10,21.2,14.7,3.4
2023-05-11,23.5,14.6,0
2023-05-12,23.9,16.7,12.5
2023-05-13,22.0,16.3,6.0
2023-05-14,19.9,12.2,4.1
2023-05-15,21.5,16.7,12.9
2023-05-16,26.0,18.6,8.8
2023-05-17,22.1,16.9,1.2
2023-05-18,21.5,15.3,9.4
2023-05-19,22.5,13.7,10.4
2023-05-20,22.6,13.8,1.7
2023-05-21,23.3,17.5,8.9
2023-05-22,24.7,18.2,3.0
2023-05-23,23.0,16.5,7.7
2023-05-24,22.4,16.4,3.1
2023-05-25,22.3,18.2,1.5
2023-05-26,26.3,19.7,7.1
2023-05-27,27.7,20.4,0.4
2023-05-28,25.4,19.8,0
2023-05-29,29.8,25.1,1.6
2023-05-30,23.4,15.2,0
2023-05-31,29.5,22.4,1.9
2023-06-01,24.5,17.9,0
2023-06-02,27.2,19.0,6.8
2023-06-03,28.0,19.5,0
2023-06-04,28.9,21.4,3.2
2023-06-05,25.2,19.4,4.5
2023-06-06,25.2,17.0,0
2023-06-07,29.0,21.6,0
2023-06-08,28.2,24.2,5.9
2023-06-09,28.5,21.8,0
2023-06-10,29.8,25.5,2.6
2023-06-11,25.8,20.5,0
2023-06-12,30.6,25.6,2.0
2023-06-13,29.1,23.2,0
2023-06-14,29.2,21.8,3.9
2023-06-15,30.4,26.0,0
2023-06-16,27.1,21.8,2.8
2023-06-17,30.2,26.1,0
2023-06-18,26.8,21.5,0
2023-06-19,31.2,25.7,0
2023-06-20,30.3,24.0,0.1
2023-06-21,33.0,28.0,3.6
2023-06-22,33.7,25.0,9.6
2023-06-23,32.8,24.0,3.7
2023-06-24,30.3,25.0,6.6
2023-06-25,28.7,21.8,17.0
2023-06-26,28.3,21.7,6.1
2023-06-27,33.2,26.7,2.1
2023-06-28,33.7,26.2,4.5
2023-06-29,31.0,26.9,15.7
2023-06-30,27.7,21.2,0
2023-07-01,28.8,23.1,4.5
2023-07-02,30.1,21.9,13.0
2023-07-03,33.8,29.2,3.1
2023-07-04,34.5,26.9,7.0
2023-07-05,30.7,24.7,0.1
2023-07-06,35.1,28.2,0
2023-07-07,30.1,25.9,7.9
2023-07-08,29.0,20.8,0
2023-07-09,30.0,24.7,16.7
2023-07-10,31.9,27.0,0
