pickup_flag,user,text
0,r-isahai,"@re-yoshimoto 社内行事などのPJコードはこちら参考にしてください。
https://chat.jbdcl.com/all/pl/drtm9dcj4fyuzk3bpawm6yc9cr"
0,n-ishii,あるいは、`/project_code`でも確認できるはずです。
0,n-ishii,"ケーブルまきまき
https://www.monotaro.com/g/02959011/

※太いケーブルにも使用可能かどうか不明"
1,yano,"@channel 
昨日明治神宮に、新年の祈願に行きましたが、
AICには神棚がないので木札（35cm×10cmくらい）をまつっておく位置を考える必要があります。
・東向きor南向き
・立ち上がった際に頭より上部
・両面テープなどでとめることは可能だが、釘などを直接木札に打つことはNG

皆でアイデアを出し合ってまつり方を検討したいと思うのでアイデアを出してください。"
0,yano,"あと、おさがりで
・御神酒（1合瓶くらい）
・神饌：お餅かお饅頭一つ
・神饌：鰹のふりかけ
を頂いていますが、皆で分けるほどの分量ではないので希望する人にお渡ししようと思います。
本日期限で希望ください。"
0,r-isahai,"@yano 
- 設置場所
    - ロッカーが配置されている方角が南東のため、窓側の壁に設置。以下のいずれか
        - スタンディングデスクの上（窓と窓の間）
        - 打合せブース後ろの黒い柱部分（磁石になっている面）

- 設置方法
    - お札ホルダー（簡易神棚）が1000～2500円程度で購入できそう、いくつかリンクを貼ります
        - [磁石式で外見が神棚っぽいもの](https://amzn.asia/d/2vMDVDo)
            - 画鋲を使うことでマグネット面以外でも利用可能らしい
        - [石膏ボード用プッシュピンで付けられる、スタイリッシュな感じ](https://amzn.asia/d/6n3sigh)
        - [マグネットタイプのスタイリッシュな感じ](https://www.amazon.co.jp/dp/B0BKKZQDVK?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_DD1QZ1YNW4SJVMEJSPX4&newOGT=1)

お札ホルダーを使うのであれば、設置場所を決める→場所にあった取付方法のものを購入、となりそうです。"
0,yano,"@r-isahai 
ありがとう。いろいろあるんだね。
ブースの後ろの柱の部分は暗いので、
時計がかけてある壁面に設置する感じかな。

*   [マグネットタイプのスタイリッシュな感じ](https://www.amazon.co.jp/dp/B0BKKZQDVK?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_DD1QZ1YNW4SJVMEJSPX4&newOGT=1)

が良さそうな気がします。"
0,r-isahai,"@yano 
- 時計が書けてある面だと、結構北向きよりになってしまいそうです。角に設置すれば問題ないでしょうか
- マグネットタイプで挙げたものが上下に固定する形式なのですが、上部で挟める厚さが0.7cmまでみたいです。木札というより神札用のため、木札の厚み確認してから購入検討したほうがよさそうです。紙ではないので上部がなくても自立しそうですが"
1,r-isahai,"@channel 
大掃除の実施結果を受けて、日々の掃除項目の見直しを行いました。
ご確認よろしくお願い致します。
[/2000_開発者向け/2000_開発者向け/2YYY_組織/AIビジネス研究室/000_部署の決めごと/040_AIC管理#掃除](https://wiki.jbdcl.com/66fb5fba9ff03c06b014a82a#掃除)
- 水曜：椅子座面の掃除機かけを追加
    - 椅子の座面・背面に思った以上にほこりがたまっていたため
    - とはいえすべてを毎週する必要はなさそうなので、使用頻度の高い執務室の椅子を対象
- 金曜：モニター掃除の内容変更
    - モニターは今まで雑巾で拭いていたが、ハンディモップで汚れを落とすに変更"
0,yano,"@channel 
気づいた人確認してほしいんだけど、
石井くんが今日座っている席のACアダプターに矢野の社用携帯充電されてます？"
