iter	Logloss
0	0.6543577409
1	0.620687438
2	0.5909653273
3	0.5654973889
4	0.5436861246
5	0.5245029974
6	0.5089100099
7	0.4935043336
8	0.4790720148
9	0.467856769
10	0.4577831973
11	0.4491771911
12	0.4406425717
13	0.4337923617
14	0.427070561
15	0.4215082434
16	0.4156025379
17	0.4108866169
18	0.4067992321
19	0.4025007442
20	0.3994600465
21	0.3960653102
22	0.3925995085
23	0.3895353566
24	0.3870311788
25	0.3847839193
26	0.3826800706
27	0.3796730496
28	0.3774854219
29	0.3757557044
30	0.3739060999
31	0.3722532596
32	0.3708874921
33	0.3681455444
34	0.3666942139
35	0.3655507236
36	0.3645814056
37	0.3633283956
38	0.3622139241
39	0.3603851683
40	0.3593703712
41	0.3583022713
42	0.356678462
43	0.3554610198
44	0.3545728085
45	0.3536391347
46	0.3529064871
47	0.3520123262
48	0.3513371278
49	0.3503637906
50	0.3492221079
51	0.3482497425
52	0.3477185539
53	0.3471652765
54	0.3465286012
55	0.3451155598
56	0.3444857641
57	0.3429306122
58	0.3423455987
59	0.3418811432
60	0.3414554758
61	0.3409674371
62	0.3403289341
63	0.3397912228
64	0.3386108408
65	0.3381803809
66	0.3367673522
67	0.3358140532
68	0.3353600125
69	0.3346402803
70	0.3336389715
71	0.3328979522
72	0.332501021
73	0.33205249
74	0.3316582812
75	0.3313680636
76	0.3305798147
77	0.3301286256
78	0.3297013059
79	0.3292711297
80	0.3286837595
81	0.3280076382
82	0.3276991406
83	0.3273792243
84	0.3270290153
85	0.3264193792
86	0.3253963254
87	0.3249906505
88	0.3247641483
89	0.3245489575
90	0.3239602464
91	0.3237485452
92	0.3232661498
93	0.32277365
94	0.3221190451
95	0.3216441215
96	0.3213220232
97	0.3207519608
98	0.320438532
99	0.320209063
100	0.319925816
101	0.319590665
102	0.3191944254
103	0.3189119114
104	0.3186663338
105	0.3184219493
106	0.31807355
107	0.3178861873
108	0.3176743573
109	0.3173864256
110	0.316978483
111	0.316781828
112	0.3165619038
113	0.3163915011
114	0.3161730279
115	0.3159601257
116	0.3157767381
117	0.3155092118
118	0.3150241738
119	0.3148523552
120	0.3143826831
