iter	Passed	Remaining
0	297	2382840
1	592	2368182
2	863	2300914
3	1128	2255409
4	1394	2229599
5	1687	2247953
6	2013	2298561
7	2292	2290580
8	2602	2310673
9	2909	2325076
10	3217	2336461
11	3516	2341089
12	3755	2307341
13	4056	2313831
14	4369	2326294
15	4670	2330356
16	4971	2334358
17	5265	2335107
18	5568	2339069
19	5865	2340300
20	6168	2343607
21	6468	2345831
22	6786	2353841
23	7088	2355737
24	7362	2348519
25	7634	2341297
26	7946	2346642
27	8264	2353040
28	8593	2361952
29	8873	2357444
30	9187	2361772
31	9477	2359978
32	9748	2353567
33	10108	2368296
34	10397	2366210
35	10713	2370138
36	10989	2365140
37	11300	2367814
38	11589	2365715
39	11868	2361784
40	12157	2360113
41	12457	2360366
42	12748	2359059
43	13028	2355872
44	13324	2355523
45	13651	2360485
46	13942	2359297
47	14236	2358525
48	14505	2353812
49	14796	2352713
50	15081	2350718
51	15397	2353476
52	15696	2353527
53	15985	2352303
54	16289	2353144
55	16584	2352697
56	16881	2352425
57	17215	2357352
58	17510	2356853
59	17812	2357149
60	18088	2354132
61	18374	2352490
62	18670	2352196
63	18971	2352474
64	19271	2352608
65	19572	2352861
66	19890	2355050
67	20190	2355108
68	20502	2356640
69	20823	2358989
70	21132	2360043
71	21540	2371835
72	21877	2375606
73	22190	2376793
74	22479	2375304
75	22767	2373831
76	23099	2376861
77	23419	2378552
78	23736	2379921
79	24050	2381009
80	24380	2383525
81	24716	2386622
82	25039	2388437
83	25368	2390725
84	25667	2390060
85	25948	2387882
86	26289	2391108
87	26588	2390512
88	26850	2386662
89	27122	2383798
90	27442	2385076
91	27719	2382707
92	28058	2385543
93	28366	2385812
94	28699	2388123
95	28982	2386255
96	29279	2385555
97	29583	2385428
98	29861	2383194
99	30154	2382235
100	30462	2382408
101	30753	2381276
102	31038	2379691
103	31314	2377519
104	31611	2376869
105	31874	2373738
106	32136	2370590
107	32401	2367674
108	32687	2366393
109	33001	2367076
110	33292	2366134
111	33557	2363388
112	33834	2361497
113	34125	2360666
114	34402	2358821
115	34677	2356860
116	34961	2355599
117	35266	2355713
118	35584	2356678
119	35868	2355392
120	36181	2355969
121	36427	2352245
122	36745	2353228
123	37030	2352053
124	37320	2351170
125	37587	2348900
126	37867	2347506
127	38130	2345020
128	38413	2343797
129	38686	2342033
130	39003	2342914
131	39291	2342015
132	39555	2339723
133	39859	2339833
134	40142	2338658
135	40416	2337020
136	40698	2335856
137	41051	2338764
138	41309	2336191
139	41565	2333620
140	41858	2333074
141	42139	2331894
142	42387	2328941
143	42639	2326212
144	42914	2324778
145	43201	2323984
146	43461	2321765
147	43723	2319731
148	44020	2319487
149	44318	2319314
150	44574	2316991
151	44857	2316051
152	45159	2316100
153	45440	2315122
154	45747	2315415
155	46017	2313843
156	46315	2313691
157	46581	2311992
158	46871	2311450
159	47175	2311587
160	47461	2310873
161	47745	2310038
162	48034	2309482
163	48315	2308515
164	48592	2307426
